Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,Mean_CV_F1,Std_CV_F1
Logistic Regression,0.6378776425836971,0.06103921189878308,0.7796052631578947,0.11321430704006688,0.7716818637953722,0.11539380589350286,0.11313683241139336,0.0013168584624207106
Random Forest,0.8783740947550657,0.13463773731111972,0.571546052631579,0.21793665725932895,0.8442292964436156,0.25384411950468516,0.21721169639066798,0.005773350588960479
